"측정월","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"202201","교북동","0.031","0.015","0.6","0.004","43","28"
"202201","구기동","0.041","0.01","1.1","0.005","53","32"
"202201","내수동","0.034","0.012","0.6","0.003","49","33"
"202201","누상동","0.041","0.01","0.9","0.005","47","33"
"202201","당주동","0.025","0.018","0.6","0.003","50","32"
"202201","동숭동","0.033","0.016","0.7","0.005","52","29"
"202201","명륜1가","0.039","0.011","0.7","0.004","49","31"
"202201","명륜2가","0.038","0.014","0.7","0.003","39","28"
"202201","명륜3가","0.014","0.031","0.4","0.003","37","24"
"202201","무악동","0.035","0.012","0.6","0.003","41","30"
"202201","부암동","0.032","0.019","0.5","0.003","45","25"
"202201","사직동","0.03","0.016","0.6","0.003","46","28"
"202201","수송동","0.039","0.015","0.6","0.004","46","33"
"202201","숭인동","0.028","0.019","0.7","0.004","26","17"
"202201","신교동","0.031","0.017","0.7","0.004","48","34"
"202201","신영동","0.026","0.018","0.7","0.003","46","29"
"202201","연건동","0.036","0.013","1","0.004","48","31"
"202201","연지동","0.033","0.016","0.6","0.004","45","33"
"202201","옥인동","0.038","0.015","0.6","0.003","51","32"
"202201","원서동","0.045","0.01","0.8","0.004","48","28"
"202201","이화동","0.035","0.014","0.6","0.003","39","28"
"202201","익선동","0.035","0.018","0.6","0.005","38","28"
"202201","인의동","0.015","0.027","0.6","0.003","34","25"
"202201","창신동","0.032","0.015","0.9","0.005","43","29"
"202201","청운동","0.033","0.014","0.8","0.004","48","29"
"202201","체부동","0.034","0.016","0.6","0.004","40","29"
"202201","충신동","0.029","0.013","0.6","0.003","47","25"
"202201","통의동","0.036","0.015","0.7","0.003","41","26"
"202201","평동","0.035","0.012","1","0.005","51","32"
"202201","평창동","0.038","0.012","0.7","0.004","45","30"
"202201","필운동","0.044","0.012","0.7","0.004","50","27"
"202201","행촌동","0.047","0.01","0.8","0.004","46","30"
"202201","혜화동","0.036","0.013","0.7","0.003","48","36"
"202201","홍파동","0.033","0.013","0.6","0.004","43","30"
"202201","효자동","0.04","0.011","0.7","0.004","42","29"
"202201","효제동","0.031","0.012","0.7","0.003","39","28"